id,company_id,balance,total_purchased,total_used,seats,seats_used,free_conversations,plan_tier_id,current_period_start,current_period_end,last_reset_at,last_processed_at,version,free_tier_allowances,created_at,updated_at,exceeded_free_tier,paid_conversations,free_tier_usage_pct
01KDRSSD8KBQQ1XTTMXVP30N39,3172,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 23:34:14","2025-12-30 23:34:14",0,0,0.00
01KDRQB89J2800KYER4N00CDCK,3171,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 22:51:33","2025-12-30 22:51:33",0,0,0.00
01KDRK0ZJT552N6VGWJENV6X5W,3170,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 21:36:02","2025-12-30 21:36:02",0,0,0.00
01KDR85ZHMHG88KJ7JBE5WMMPY,3169,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 18:26:31","2025-12-30 18:26:40",0,0,0.00
01KDR1E0HWP0PNTPDNKX9VVPWA,3168,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 16:28:34","2025-12-30 16:29:12",0,0,0.00
01KDQYS5FMXQDM4WAHG484M6PC,3167,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 15:42:14","2025-12-30 15:42:14",0,0,0.00
01KDQVVYTAQMPZASK9GDW9151T,3166,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 14:51:20","2025-12-30 14:51:20",0,0,0.00
01KDQR5QTPGRXZ4K9NVEKBXMBC,3165,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 13:46:46","2025-12-30 13:46:46",0,0,0.00
01KDQQXCXW004BEWKXFKJPT5ME,3164,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 13:42:13","2025-12-30 13:43:15",0,0,0.00
01KDQQGCBFPTMXPYCB4SPPXVJD,3163,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-30 13:35:06","2025-12-30 13:35:06",0,0,0.00
01KDNYYBSRFZ663TN6F5WJXHJ6,3162,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 21:06:35","2025-12-29 21:06:35",0,0,0.00
01KDNQNGWQAC0DDBKD6W78ANXH,3160,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 18:59:26","2025-12-29 19:00:49",0,0,0.00
01KDNPTW6E9H0NVGWN619QC69E,3159,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 18:44:53","2025-12-29 18:44:53",0,0,0.00
01KDNHPQVQPDS05732H3VFPX3P,3158,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 17:15:14","2025-12-29 17:15:14",0,0,0.00
01KDN94E2JC8BC2KF3Y0W0F42J,3157,0.0000,0.0000,0.0000,1,1,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 14:45:26","2026-01-10 01:56:57",0,0,0.00
01KDN8XJ0QFF8F60BNJKCSGEKY,3156,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 14:41:40","2025-12-29 14:41:40",0,0,0.00
01KDN5RSY9VE5GK2FV9EYFR18X,3155,0.0000,0.0000,0.0000,0,0,50,NULL,NULL,NULL,NULL,NULL,1,NULL,"2025-12-29 13:46:39","2025-12-29 13:46:39",0,0,0.00
