_id,tiempoTotalMinutos,promedioSesionMinutos,totalSesiones
1761,80713.98,196.86336585365854,410
2742,0,0,54
2983,0,0,6
1962,0,0,17
2946,0,0,5
1236,265532.4343,240.51850932971016,1104
2642,69935.6775,290.1895331950208,241
1828,0,0,7
3132,0,0,1
2297,0,0,54
2298,0,0,8
3127,0,0,1
1266,329.311,2.457544776119403,134
312,0,0,37
2455,545.0643,4.5422025,120
45,626.2398333333333,3.8419621676891613,163
2344,0,0,14
3051,22.24425,4.44885,5
2934,0,0,11
3112,16.43515,5.478383333333333,3
2837,459.69106666666664,114.92276666666666,4
3077,0,0,1
3272,0,0,1
3291,33.15063333333333,16.575316666666666,2
2844,0,0,1
3056,72.9946,36.4973,2
3279,0,0,3
2759,0,0,7
2325,0,0,9
3003,0,0,1
3093,0,0,1
3168,0,0,1
3000,813.6396333333333,101.70495416666667,8
3280,0,0,2
2312,0,0,1
1053,15821.41725,197.767715625,80
3240,0,0,1
1068,1061.3442,132.668025,8
362,3.39455,0.023905281690140848,142
2909,0,0,1
2050,0,0,29
3171,405.99205,31.230157692307692,13
2910,0,0,2
2125,220340.10913333335,243.73905877581123,904
3163,0,0,1
855,22986.612533333333,75.36594273224044,305
3141,0,0,1
2679,0,0,18
2031,0,0,27
2830,1.39645,0.4654833333333333,3
2925,539.1259,20.735611538461537,26
3292,0,0,13
3040,0,0,2
3344,0,0,1
3177,0,0,2
307,0,0,1
3298,0,0,1
2841,0,0,2
3194,0,0,1
2904,0,0,2
2233,1498.5521833333335,12.592875490196079,119
2987,3.2020833333333334,0.3202083333333333,10
2958,836.9462,46.49701111111111,18
3159,0,0,1
2531,0,0,2
2822,35.91831666666667,5.986386111111112,6
2420,0,0,11
337,0,0,1
2814,0,0,1
3276,0,0,2
3055,7.74605,0.8606722222222223,9
135,51813.57755,25.091320847457627,2065
2760,0,0,40
2662,0,0,7
85,120315.21648333334,253.82957063994374,474
2200,0,0,1
3012,293.5042666666667,26.682206060606063,11
3102,0,0,1
3088,125.5758,31.39395,4
3089,0,0,1
1,66699.01225,123.74584833024119,539
1844,43.54643333333333,1.7418573333333334,25
3070,84.35761666666666,7.029801388888888,12
2855,1.9965,0.3993,5
257,5340.846716666667,14.632456757990868,365
3294,0,0,1
3173,0,0,1
2971,2024.0842833333334,49.367909349593496,41
2888,225.49541666666667,18.791284722222223,12
2762,6.143666666666666,2.0478888888888886,3
2988,0,0,1
3157,747.8548333333333,74.78548333333333,10
3039,113.93323333333333,8.138088095238095,14
1974,107231.0135,33.837492426633005,3169
3306,1993.1210333333333,18.11928212121212,110
3004,1024.6260833333333,85.38550694444444,12
3246,1.861,1.861,1
2836,736.4715333333334,43.32185490196078,17
1565,0,0,2
2676,0,0,6
3184,0,0,1
424,55852.935633333334,122.75370468864469,455
3323,0,0,1
2326,38.32983333333333,1.5970763888888888,24
2954,0,0,1
2716,0,0,3
2276,691640.4455833334,162.4713285373111,4257
3174,0,0,29
155,817904.2836,186.01416502160563,4397
2708,0,0,12
2856,12.247266666666667,0.42231954022988505,29
2711,0,0,23
3058,43.280300000000004,7.213383333333334,6
3091,49.07555000000001,12.268887500000002,4
2900,60.44391666666667,12.088783333333334,5
2559,0,0,2
2693,9.83535,0.8941227272727272,11
2239,350.92435,116.97478333333333,3
3211,0,0,1
3007,110.20403333333333,22.040806666666665,5
1848,772.1866,64.34888333333333,12
2902,0,0,5
2974,198.1541,49.538525,4
2183,90224.84333333334,136.91175012645422,659
2430,212.46288333333334,19.314807575757577,11
2309,1773.2338333333332,23.02901082251082,77
339,183185.92561666667,232.76483559932234,787
3312,13.956233333333333,4.6520777777777775,3
2754,4534.030666666667,56.67538333333333,80
2896,15940.28215,51.254926527331186,311
2799,0,0,37
935,13042.4979,44.062492905405406,296
3087,137.94876666666667,19.706966666666666,7
1937,6857.702266666667,149.08048405797103,46
1512,0,0,70
2989,57.53055,19.176849999999998,3
2597,0,0,20
2756,246.76718333333332,11.21669015151515,22
2625,38.00861666666666,7.601723333333332,5
470,0,0,62
2027,0,0,2
1860,0,0,17
2703,0,0,8
3198,0,0,1
3134,0,0,1
361,42451.79003333333,133.91731871713984,317
807,0,0,12
2879,1231.4344833333334,72.43732254901961,17
2397,223.29113333333333,2.1891287581699346,102
3034,153.69781666666668,30.739563333333336,5
2683,175.58553333333333,25.083647619047618,7
2869,2373.3665,71.92019696969697,33
3214,0,0,1
54,361531.58125,281.3475340466926,1285
1975,27.161616666666667,1.8107744444444445,15
3082,0,0,8
2819,14.7996,7.3998,2
2834,920.9578833333333,32.891352976190475,28
2878,0,0,4
1480,29470.313733333332,283.36840128205125,104
3265,16.58925,5.52975,3
2960,253.92171666666667,50.78434333333333,5
1964,0,0,3
1641,0,0,1
3155,0,0,2
1559,0,0,4
3103,147.92755,73.963775,2
2961,0,0,3
3033,0,0,1
2471,0,0,57
3125,0,0,3
3105,0,0,1
3295,0,0,2
3243,0,0,1
2743,0,0,2
2944,146.98893333333334,24.498155555555556,6
2979,0,0,1
1133,0,0,30
2775,0,0,78
3078,0,0,4
2941,6.307666666666667,2.1025555555555555,3
1649,0,0,34
2923,0,0,2
3215,0,0,2
2915,0,0,1
2893,9.53295,0.22169651162790696,43
1694,156.40793333333332,1.8844329317269075,83
2648,0,0,3
2395,0,0,37
3083,927.4589166666667,132.49413095238097,7
2277,0,0,19
150,1237314.9038833333,271.46004911876554,4558
3060,0,0,2
2223,1.9688500000000002,0.19688500000000003,10
2030,0,0,5
3002,0,0,1
1566,0,0,26
2258,0,0,6
2645,5834.5500833333335,89.76230897435897,65
3152,0,0,1
2744,1.6951,0.0892157894736842,19
2528,0,0,24
2840,651.4414666666667,38.320086274509805,17
353,141811.24246666668,293.6050568668047,483
745,11365.410266666666,27.51915318805488,413
3072,325.87281666666667,29.624801515151514,11
1845,0,0,14
3330,0,0,3
2838,1986.31805,30.095728030303032,66
3006,127.38015,1.190468691588785,107
438,48343.00045,104.18750096982758,464
147,466462.7360166667,184.08158485267035,2534
2670,0,0,15
2959,620.9051166666667,68.98945740740741,9
3037,0,0,1
2957,0,0,1
1304,2.13865,1.069325,2
2882,0,0,50
2612,9.964966666666667,4.982483333333334,2
3213,0,0,1
3045,0,0,1
3158,0,0,1
3123,1.0928166666666668,0.5464083333333334,2
741,26551.861333333334,500.97851572327045,53
1584,18460.630033333335,236.67474401709404,78
3136,201.71776666666668,201.71776666666668,1
125,131075.60531666665,90.27245545224976,1452
2843,0,0,1
3167,0,0,1
3222,0,0,2
3011,1765.8259,29.430431666666667,60
1898,0,0,12
2808,0,0,63
2049,41791.96178333333,276.76795883002205,151
1946,0,0,2
1950,0,0,69
3328,0,0,1
3014,0,0,2
5,48079.63365,45.10284582551595,1066
2918,3.524983333333333,0.14099933333333334,25
3261,646.7780666666666,43.118537777777775,15
3080,173.17023333333333,43.29255833333333,4
1811,0,0,10
